name	relationship	relationship_value	continent
Raspberry Pi Foundation	Mozfest Facilitator	3	North America
RaspiKidd	Mozfest Facilitator	3	Europe
Read the Docs	Grantees	5	North America
Reading and Writing Foundation	None	1	North America
Red Hat	Open leaders	3	North America
Redefining Women in Tech	Grantees	5	North America
RedesAyuda	None	1	South America
RedThread.Media	Mozfest Facilitator	3
Reel Stories Teen Filmmaking	Grantees	5	North America
Regent Park Focus Youth Media Arts Centre	Grantees	5	North America
Renewable Freedom Foundation	Grantees	5	Europe
Renewable Freedom Foundation	OWF Host Org Applicants	2	Europe
Research Action Design (RAD)	OWF Host Org Applicants	2
Research ICT Africa	IHR Contributors	4	Africa
Research ICT Africa	Open leaders	3	Africa
Research ICT Africa	OWF Host Org Applicants	2	Africa
Resilient Communities NYC	Mozfest Facilitator	3
Review Board	Grantees	5	North America
Rhizomática	None	1	North America
Right to Play International	Grantees	5
RightsCon	None	1
RIPE	IHR Contributors	4
Riseup	Grantees	5	North America
Riseup	Mozfest Facilitator	3	North America
Rita Allen Foundation	Funders	5	North America
River City Youth Foundation	Grantees	5	North America
Robert W Deutsch Foundation	None	1	North America
Rory Peck Trust	None	1	Europe
Rust Language	Mozfest Facilitator	3
Rust Language	Open leaders	3
Rust Language	Grantees	5
Sage Bionetworks	Mozfest Facilitator	3	North America
Sage Bionetworks	Open leaders	3	North America
Science Hack Day	Mozfest Facilitator	3
Science Hack Day	Open leaders	3
secure scuttlebutt	None	1
SecureDrop	Grantees	5
See Think Make	Mozfest Facilitator	3
See Think Make	Open leaders	3
Seneca College	Grantees	5
SETUP (Netherlands)	None	1
Share Foundation	Mozfest Facilitator	3	Europe
Share the Facts	Mozfest Facilitator	3	North America
Shedd Aquarium	Grantees	5	North America
Shuttleworth Foundation	None	1	Africa
SIDA	None	1	Europe
Siegel Family Endowment	Funders	5	North America
Siroop	Mozfest Facilitator	3	Europe
Sitewards GmbH	Mozfest Facilitator	3	Europe
Sky’s the Limit Youth Organization	Grantees	5	North America
Small Media	Mozfest Facilitator	3	Europe
Smart Chicago	Open leaders	3	North America
Social Media Exchange	IHR Contributors	4	Asia
Society for Promotion of Alternative Computing and Employment	None	1	Asia
Software Freedom Conservancy	Grantees	5	North America
Software Freedom Law Center	Mozfest Speakers	4	North America
South by Southwest	None	1
South London Rasppberry jam	Mozfest Facilitator	3	Europe
Southern African NGO Network	None	1	Africa
SPARC	OWF Host Org Applicants	2	North America
Spectrum	None	1	Europe
Speech Rule Engine	Grantees	5
spider oak	None	1
sproutfund	Open leaders	3	North America
Startuple	Mozfest Facilitator	3	Europe
STEAMLabs	Grantees	5	North America
STEM From Dance	Grantees	5	North America
Stiftung Neue Verantwortung	Grantees	5	Europe
Stiftung Neue Verantwortung	OWF Host Org Applicants	2	Europe
Stockholm Internet Forum (SIF)	None	1	Europe
Storj Labs	Mozfest Facilitator	3	North America
StrawberryNet Foundation	None	1	Europe
Studio MindStride	Grantees	5	North America
SumOfUs	OWF Host Org Applicants	2	North America
Sunlight Foundation	OWF Host Org Applicants	2	North America
SunPy	Open leaders	3
sunshine foundation	None	1	North America
Sweet Water Foundation	Grantees	5	North America
Syrian Archive	None	1
Tactical Technology Collective	Grantees	5	Europe
Tails	Grantees	5
Tatoeba	Grantees	5
